Actual,Predicted
34,38.46778235204885
17,31.087913332263405
35,30.14659080585788
17,18.489104489490884
39,33.78213481640411
24,24.516927568756078
19,22.403018199862583
29,31.086517270278524
65,51.168953774117846
51,36.52579532637356
40,30.701560003929398
24,22.558398617348274
19,19.954085284527196
39,36.268190185067375
14,11.128082906659731
13,16.27945314862126
39,43.04563009102316
41,43.638260184790376
56,48.806712570018746
26,26.510464411325597
25,19.820473207707774
29,34.766462404526834
23,20.047552631484177
30,45.91487206012984
22,16.02193385774149
14,16.98096756019151
35,32.201968798965424
37,36.524635354270046
36,37.29922361396001
18,21.411849170891866
27,37.323899690085796
17,19.707531869364132
34,32.64010102127959
23,26.350307303336372
20,18.926090948933854
39,35.75615428370632
11,10.61474982126739
19,19.432375501000745
16,14.01110010557411
14,16.690457671696535
12,11.72236447317548
24,28.667776656341594
23,24.72906542859797
34,29.354343939363037
45,40.62486349890708
18,23.354344782277813
80,70.9673765544321
26,28.885916155745708
21,24.480560660331466
23,26.549293274945615
36,36.24680478432797
25,26.39495211454705
60,63.28926741115869
29,35.21683707467869
28,31.97781963690614
29,32.89304326229333
37,29.282197776289728
35,40.47327079461337
46,36.804410378972875
23,21.18950843710313
31,23.634343041821783
36,33.018888797094924
31,26.088287604106664
64,56.461199753227746
75,78.89680570087955
26,24.412054207748362
8,8.705649542457412
20,24.4416846362083
31,24.829884149038623
40,41.215978345325546
37,40.87279328909987
8,10.010293129670394
30,39.103596871058
21,22.647263563397598
34,36.36688195293338
24,19.056497707534735
17,24.48777231013582
40,40.47957407358232
23,28.81776662268307
38,37.22731886477955
24,25.726075276820875
50,56.32274177543385
72,73.6869723653091
42,24.732392974873857
21,26.792655413412696
4,11.540961460164011
23,28.11448653223105
20,34.24467065318806
51,44.030326944291154
24,22.945534903667088
28,33.577557417047316
23,22.729259417046123
24,26.440576038032475
21,23.345366644274822
14,14.94694353232055
58,60.34575230614671
21,22.592819016017735
25,22.642597022863733
25,27.12246813518832
71,71.0235841184385
15,14.322344012382995
36,41.389364724199716
34,36.08268832122219
28,29.41233656529048
14,18.842304692575507
31,37.234467155430174
25,26.622297720348513
34,29.435209372508417
16,17.361402059443712
14,19.772782149920566
30,28.758890573175677
26,24.76756970347315
23,26.47077970392839
37,34.83867480341067
22,22.245889050443747
30,28.664072085581786
10,15.580560575345391
23,25.36563322572987
5,13.609560026562416
21,15.756845475176789
24,26.250060193808025
